                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.5109,                 1.6453,                 1.5265,                0.42305,                0.34452,                0.31726,                0.16438,                 1.9222,                 1.9997,                 1.9715,              0.0011234,              0.0011234,              0.0011234
                     56,                 1.5073,                 1.5716,                 1.5035,                0.42111,                0.31152,                0.27747,                0.15067,                 2.0009,                 2.1149,                 2.0737,              0.0011178,              0.0011178,              0.0011178
                     57,                  1.525,                 1.6439,                 1.5235,                0.40063,                0.31117,                0.28714,                0.14946,                 1.9657,                 2.0579,                 1.9616,              0.0011121,              0.0011121,              0.0011121
                     58,                 1.4735,                 1.6042,                 1.4904,                0.42491,                0.34027,                0.30214,                0.16109,                 1.9711,                 2.0506,                 1.9595,              0.0011064,              0.0011064,              0.0011064
                     59,                 1.4821,                 1.5536,                 1.4884,                 0.4535,                0.32408,                0.30482,                0.15888,                 1.9702,                 2.0227,                 1.9795,              0.0011008,              0.0011008,              0.0011008
                     60,                 1.4734,                 1.5825,                 1.4938,                0.41902,                0.32771,                0.30441,                0.15547,                 1.9299,                  2.012,                 1.9334,              0.0010951,              0.0010951,              0.0010951
                     61,                  1.452,                 1.5681,                 1.4826,                0.44421,                0.33356,                0.31853,                0.16925,                 1.9116,                 1.9626,                 1.9409,              0.0010895,              0.0010895,              0.0010895
                     62,                  1.451,                 1.5588,                 1.4916,                0.50183,                0.33514,                0.33508,                0.16615,                 1.9729,                 1.9548,                 1.9584,              0.0010838,              0.0010838,              0.0010838
                     63,                 1.4296,                 1.5555,                 1.4783,                0.48811,                0.28827,                0.27728,                0.14391,                 1.9683,                 2.1094,                 2.0672,              0.0010782,              0.0010782,              0.0010782
                     64,                 1.4511,                 1.5494,                 1.4795,                0.39571,                0.31807,                0.29139,                0.14956,                 1.9831,                 2.0531,                 1.9679,              0.0010725,              0.0010725,              0.0010725
                     65,                 1.4233,                 1.4873,                 1.4618,                0.41425,                0.31329,                0.28516,                0.15253,                   1.96,                 2.1014,                 1.9933,              0.0010668,              0.0010668,              0.0010668
